*** Dátum: 6-2-2019 ***
*** Konfigurácia kyvadla: ***
Váha:;0.063000;Dåžka lanka:;0.530000
Ubehnutý èas:;Súradnica x:;Súradnica y:;Aktuálna výchylka:;Rýchlos;Zrýchlenie:;Uhlová rýchlos:;Uhlové zrýchlenie:;Potenciálna energia:;Kinetická energia:;Perióda:;Frekvencia:
3355;32.011998;11.394999;-0.100634;8.712622;0.985558;5.428191;1.859544;0.458578;2.391158;1.460395;0.684746
3385;32.647998;11.288999;-0.110233;8.592442;1.079198;5.425435;2.036222;0.524089;2.325647;1.460395;0.684746
3418;33.071998;11.076999;-0.134027;8.346893;1.310874;5.417518;2.473347;0.655112;2.194624;1.460395;0.684746
3450;33.283998;10.864999;-0.158607;8.093897;1.549420;5.407714;2.923434;0.786134;2.063602;1.460395;0.684746
3483;33.336998;10.493999;-0.203911;7.631000;1.986533;5.385307;3.748176;1.015423;1.834313;1.460395;0.684746
3515;33.177998;10.811999;-0.166282;8.029403;1.623724;5.404314;3.063631;0.818890;2.030847;1.460395;0.684746
3563;32.912998;11.129999;-0.128636;8.408952;1.258441;5.419447;2.374417;0.622356;2.227380;1.460395;0.684746
3595;32.382998;11.341999;-0.105166;8.652740;1.029779;5.426921;1.942979;0.491334;2.358402;1.460395;0.684746
3625;31.375998;11.553999;-0.082660;8.889846;0.809968;5.432677;1.528242;0.360311;2.489425;1.460395;0.684746
3658;29.838998;11.659999;-0.075913;9.006058;0.743990;5.434133;1.403756;0.294800;2.554936;1.460395;0.684746
3690;27.983998;11.871999;-0.049495;9.234095;0.485346;5.438642;0.915748;0.163778;2.685958;1.460395;0.684746
3723;25.916999;12.030999;-0.024539;9.401494;0.240700;5.441156;0.454151;0.065511;2.784225;1.460395;0.684746
3755;23.796999;12.242999;-0.032517;9.401494;0.318940;5.440537;0.601774;0.065511;2.784225;1.460395;0.684746
3785;21.464999;12.242999;-0.050622;9.401494;0.496391;5.438489;0.936586;0.065511;2.784225;1.460395;0.684746
3818;19.185999;12.242999;-0.110997;9.401494;1.086646;5.425205;2.050276;0.065511;2.784225;1.460395;0.684746
3850;17.118999;12.242999;1.176005;9.401494;-9.055385;3.374970;-17.085632;0.065511;2.784225;1.460395;0.684746
3883;14.892999;12.136999;0.000000;9.511457;-0.000000;5.441975;-0.000000;0.000000;2.849736;1.460395;0.684746
3930;12.772999;12.030999;0.047050;9.401494;-0.461392;5.438963;-0.870550;0.065511;2.784225;1.460395;0.684746
